,tweet
119,"From Sacramento to the White House and the halls of Congress, Rep. @DorisMatsui has never lost focus of her goal: fight #ForThePeople. As a senior Member on @EnergyCommerce, she works tirelessly to ensure that all Americans have access to quality, affordable health care. #APAHM https://t.co/1BuZPc5AyR"
120,Wishing all who celebrate a happy and healthy #Ramadan. https://t.co/zQozDEh3I5
121,"A proud son of Korean immigrants and a dedicated public servant, @RepAndyKimNJ has served under both Democrats and Republicans both at home and abroad. From Afghanistan to the Capitol, his long-standing fight #ForThePeople is just beginning. #APAHM https://t.co/r0AuEyrhes"
122,"A courageous Air Force veteran, former California Assemblyman, State Senator and now Congressman, @RepTedLieu has dedicated his life to serving 🇺🇸.  He continues that commitment today as Co-Chair of @HouseDPCC and Vice Chair of @LGBTEqCaucus. #APAHM https://t.co/GPMkguujnG"
123,"No one should have to decide between medical care and putting food on the table. House Democrats fought to #ProtectOurCare 2️⃣ years ago, and will continue the fight every day #ForThePeople."
124,"2️⃣ years ago today, every House Democrat voted 🗳against #Trumpcare, which would have ripped health care from millions of Americans. Today, we continue the fight #ForThePeople to #ProtectOurCare - health care is a RIGHT, not a privilege."
125,"On this day 58 years ago, a group of courageous Americans challenged the status quo and demanded their rights. May we remember their bravery in our continued fight toward a more equal and just society. #FreedomRides https://t.co/b0FCIB0Pet"
126,"Our Constitution’s First Amendment makes it clear that #PressFreedom is CRUCIAL to the foundation of our democracy. Now more than ever, we must hold our leaders accountable, speak truth to power and protect our nation’s most fundamental values. ✍🏽📰 https://t.co/dMUaBLPBVa"
127,"Our Constitution’s First Amendment makes it clear that #PressFreedom is CRUCIAL to the foundation of our democracy. Now more than ever, we must hold our leaders accountable, speak truth to power and protect our nation’s most fundamental values. ✍🏽📰 https://t.co/dMUaBLPBVa"
128,"We can walk and chew gum at the same time #ForThePeople.

cc: @StaceyPlaskett https://t.co/YHdtGjnSpU"
129,"Educator, advocate and Chair of @VetAffairsDems, @RepMarkTakano fights every day to ensure that our nation’s greatest patriots receive the care and resources they deserve. #ForThePeople #APAHM https://t.co/XblGNXYDKn"
130,"Climate change and climate disasters are a human and fiscal crisis. That's why House Democrats just took decisive action with #ClimateActionNow. This is just the beginning, not the middle or the end. #ForThePeople https://t.co/GSIj0HsAMs"
131,"From Queens to the Capitol, @RepGraceMeng has dedicated her career to fighting #ForThePeople. She is the first and only Asian American Rep. from New York and continues to pioneer a path for other AAPIs in her district and across the nation. #APAHM https://t.co/LFX7EH0G8r"
132,"Today, we vow to #NeverAgain be silent in the face of hatred, and we honor the victims and survivors of such pain. May your bravery inspire us to combat evil every day in every form. #HolocaustRemembranceDay https://t.co/sHPgF1hAOm"
133,"We have a moral imperative to act on climate change #ForThePeople.

#ClimateActionNow protects our planet for future generations and creates good-paying jobs for millions of Americans. 🌎"
134,"Workers' rights aren't given -- they're fought for and won.

House Democrats &amp; @EdLaborCmte won't stop until all workers have the full rights they deserve.

#MayDay #SolidarityForever
https://t.co/Ki3DYW2j7c"
135,"This nation was founded upon the values of fairness, freedom and equality. It’s time to make those values a reality for ALL Americans. #EqualityAct https://t.co/Q8YmkQmCyT"
136,"Every May, we honor our nation’s vibrant Asian American and Pacific Islander community. The first Chinese American woman elected to Congress and Chair of @CAPAC, @RepJudyChu has fought tirelessly #ForThePeople and advocates for AAPIs across the country. #APAHM https://t.co/ZvIJWEJ2Ut"
137,The American people sent House Democrats to Washington to lower health care and prescription drug costs — and we're delivering on that promise #ForThePeople. https://t.co/S7pToDp5Xo
138,"Gun violence is a public health crisis. 

House Democrats are fighting to fund research into the gun violence epidemic for the first time in 2️⃣0️⃣ years #ForThePeople.

https://t.co/KiqcnMylkz"
139,"Cancer, diabetes, heart disease – across the board, communities of color suffer disproportionately from life-threatening #HealthDisparities. @HouseDemocrats are fighting to save lives and ensure equal access to quality health care for all. 
#MinorityHealthMonth"
140,House Democrats are back in Washington and we’re hitting the ground running #ForThePeople. https://t.co/aKDe4W3bHo
141,👀 https://t.co/nddlGQVulM
142,"Every day, 20 veterans, servicemembers, reservists and National Guard members die by suicide. Today, @VetAffairsDems are are asking how we can #BeThere for our greatest patriots. https://t.co/LsBx3xP6FH"
143,"Every day, we honor the workers who do the crucial and often dangerous jobs on which our nation depends. 

@HouseDemocrats will always fight to keep the workplace safe and make sure that all workers return home to their families. #WorkersMemorialDay https://t.co/M7DqRcFzZh"
