,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
1793,Republican,"Tax reform will make America competitive again and increase wages by $4,000 for American workers. https://t.co/MyyWvNRg3h",Senate of Republican,16,0.0,0.778,0.222,0.4588
1794,Republican,"“When you look at half of your percentage of money is actually going to federal taxes, it makes it hard to get other businesses, other entrepreneurs to want to start businesses.” – Misty DeAnn Mayes, owner of @MSLLC_Knoxville https://t.co/HGZXvXkegK",Senate of Republican,39,0.036,0.93,0.034,-0.0258
1795,Republican,“Tax cuts are incredibly important to small businesses.” – @SBAgov Administrator @SBALinda McMahon #TaxReform https://t.co/i0HYxNsLlh,Senate of Republican,15,0.135,0.737,0.128,-0.0276
1796,Republican,"""If we want our economy to grow and expand then we’ve got to make sure our small businesses are treated fairly as well.” – @SenatorRounds #TaxReform https://t.co/iD6HqAGn9K",Senate of Republican,27,0.0,0.796,0.204,0.5994
1797,Republican,"“While I’m excited about reduced rates, I’m equally excited, if not more excited, about the reduced time burden.” – Alan Keck, a small business owner and entrepreneur in rural Kentucky https://t.co/gjLqhZDbgH",Senate of Republican,31,0.0,0.783,0.217,0.7351
1798,Republican,Tax reform is good for America. 🇺🇸🔥💯 https://t.co/6dnwfNROv2,Senate of Republican,8,0.0,0.707,0.293,0.4404
1799,Republican,"“Tax reform, simplification, all those things would be a great benefit for small business.” – Amy McIntyre, President and CEO of @wmvproductions https://t.co/cIOsz75a0u",Senate of Republican,23,0.0,0.728,0.272,0.7964
1800,Republican,Senate Republicans and @POTUS @realDonaldTrump are seizing this once-in-a-generation opportunity to cut taxes for American families and workers. https://t.co/FLSZVQPQl3,Senate of Republican,19,0.096,0.776,0.128,0.1779
1801,Republican,"""As small businesses we have to spend thousands of dollars and many, many hours every year and even quarterly going through our tax process ... what are the tax implications going to be to almost every business decision we make.” – Misty DeAnn Mayes, @MSLLC_Knoxville https://t.co/JhIaBUNTcH",Senate of Republican,46,0.0,1.0,0.0,0.0
1802,Republican,"Senate Republicans are ready to cut taxes by $2,200 for the typical family of four. https://t.co/4MOH6XQGsN",Senate of Republican,16,0.113,0.753,0.134,0.1027
1803,Republican,"""I’m here to support our local economy as we fight to get this thing passed as well as our associates and our pro-contractors who would definitely benefit from the new tax reform bill.” – Chico Evans, manager of a Washington D.C. @HomeDepot https://t.co/bJaWL4KQ7y",Senate of Republican,43,0.053,0.733,0.214,0.7845
1804,Republican,"Our current tax code hurts American workers and small businesses.
👷👩‍🔧👩‍🌾👨‍🏫👩‍💻👨‍⚕️ https://t.co/dZcBK5oBOP",Senate of Republican,12,0.22,0.78,0.0,-0.4767
1805,Republican,.@SenDeanHeller: The goal of tax reform is to give the kind of relief that the middle-class family has been begging for. https://t.co/ruyxgPmwa9,Senate of Republican,22,0.0,0.882,0.118,0.4228
1806,Republican,"""As a business owner in rural Kentucky, one of the focuses is the amount of time that it takes to be compliant with the current burdensome tax code.” – Alan Keck, a small business owner and entrepreneur in rural Kentucky https://t.co/VR8p8WzQb9",Senate of Republican,41,0.07,0.93,0.0,-0.4215
1807,Republican,"#TaxReform has been six years in the making, and now we have the opportunity to make it a reality with @POTUS. https://t.co/vtFVqHBBjh https://t.co/UZWbB7IT14",Senate of Republican,23,0.0,0.882,0.118,0.4215
1808,Republican,"“#TaxReform is for the doers and the dreamers, and the hardworking families who want a piece of the American dream.” – Sen. @JohnCornyn https://t.co/YtOT37q06w",Senate of Republican,24,0.0,0.942,0.058,0.0772
1809,Republican,Big tax cuts for small businesses will create new jobs and raise wages for Americans across the country. https://t.co/UEGUmOmAtA,Senate of Republican,19,0.103,0.798,0.099,-0.0258
1810,Republican,"""I think about the associates at my particular store and the small contractors that shop in my store ... and how this bill is going to impact them and make their jobs a lot easier.” – Chico Evans, manager of a Washington D.C. @HomeDepot https://t.co/pTyaAGOr5r",Senate of Republican,45,0.0,1.0,0.0,0.0
1811,Republican,#TaxReform will make America competitive again and bring jobs back to 🇺🇸. https://t.co/c0URbWHbyc,Senate of Republican,13,0.0,0.876,0.124,0.1779
1812,Republican,"""I'm completely convinced that when we pass [the #TaxCutsandJobsAct] we're going to completely unleash the power of the American economy."" – @SenThomTillis https://t.co/UEGUmOmAtA",Senate of Republican,23,0.0,0.875,0.125,0.4576
1813,Republican,"""They want a code that is simpler, that is fairer, that allows Hoosiers to keep more of what they earn. This bill that we have in the U.S. Senate delivers on that promise."" – @SenToddYoung #TaxReform https://t.co/UEGUmOmAtA",Senate of Republican,37,0.0,0.963,0.037,0.0772
1814,Republican,"“This is a historic day, a historic week. What we’re trying to do is to make America competitive again. One of the ways you do it is to fix the tax code.” – @SenDavidPerdue
https://t.co/ruyxgPmwa9",Senate of Republican,35,0.0,0.948,0.052,0.1779
1815,Republican,"“We are going to see growth in this economy. We are going to see a turnaround in our economy. We are going to see businesses grow, and we're going to see jobs created."" – @SenatorFischer #TaxReform https://t.co/UEGUmOmAtA",Senate of Republican,37,0.0,0.929,0.071,0.3818
1816,Republican,"Here's something you should know about tax reform:
America currently has the highest corporate tax rate in the industrialized world. 🌎
This hurts American workers.👷👩‍🔧👨‍⚕️
The @SenateGOP #TaxCutsandJobsAct reduces the corporate tax rate, which will raise wages by $4,000.🙌 https://t.co/ZC3AnSOe3h",Senate of Republican,40,0.075,0.925,0.0,-0.4767
1817,Republican,.@SenDavidPerdue: We’re going to get the Tax Cuts &amp; Jobs Act passed. https://t.co/ruyxgPmwa9,Senate of Republican,13,0.155,0.845,0.0,-0.296
1818,Republican,".@SenJoniErnst: Rather than a tax code that is discouraging for small businesses, we need to empower our small businesses to create jobs in our communities. #TaxReform https://t.co/UEGUmOmAtA",Senate of Republican,27,0.1,0.828,0.072,-0.2023
1819,Republican,“Tax cuts are vital to our small businesses.” – @SBAgov Administrator @SBALinda McMahon #TaxReform https://t.co/zJZJbavFsZ,Senate of Republican,15,0.134,0.732,0.134,0.0
1820,Republican,.@SenateMajLdr: We're excited about this opportunity to reform the tax code and make America more competitive so small businesses don't get left behind. https://t.co/UEGUmOmAtA,Senate of Republican,24,0.0,0.745,0.255,0.7346
1821,Republican,"If you’re a single mother, you won’t pay taxes on the first $18,000 you earn under the @SenateGOP’s #TaxCutsandJobsAct. https://t.co/0mLrhZatMO",Senate of Republican,20,0.072,0.928,0.0,-0.1027
1822,Republican,.@SenThomTillis: The American people are going to see the tremendous results of #TaxReform. https://t.co/ruyxgPmwa9,Senate of Republican,14,0.0,1.0,0.0,0.0
1823,Republican,"Sen. @JohnCornyn: Our goals are to simplify the tax code, to get people more take-home pay, and to make America more competitive globally. https://t.co/UEGUmOmAtA",Senate of Republican,24,0.065,0.857,0.078,0.081
1824,Republican,The Senate’s Tax Cuts &amp; Jobs Act provides across-the-board tax cuts. https://t.co/I4FajgybwV,Senate of Republican,12,0.306,0.694,0.0,-0.5267
1825,Republican,"“A median-income family making $73,000 a year is going to get a 60 percent tax cut. That’s reality.” – @SenDavidPerdue #TaxReform #TaxCutsandJobsAct https://t.co/ruyxgPmwa9",Senate of Republican,23,0.1,0.9,0.0,-0.2732
1826,Republican,"If you’re single with no children, the first $12,000 you make will not be taxed under the @SenateGOP’s #TaxCutsandJobsAct. https://t.co/0mLrhZatMO",Senate of Republican,20,0.104,0.896,0.0,-0.296
1827,Republican,“We’ve come a long way on the @GOPSenFinance Committee to get this bill this far. I believe we’re going to be successful. Let’s work together. Let’s get this done.” – @SenOrrinHatch https://t.co/YtOT37q06w,Senate of Republican,32,0.0,0.881,0.119,0.5859
1828,Republican,“We as a conference are unified on the efforts to actually make taxes simpler and fairer.” – @SenJohnBarrasso https://t.co/YtOT37q06w,Senate of Republican,19,0.0,0.86,0.14,0.3818
1829,Republican,"If you’re married, the first $24,000 you earn combined will not be taxed under the @SenateGOP’s #TaxCutsandJobsAct. https://t.co/0mLrhZatMO",Senate of Republican,18,0.0,1.0,0.0,0.0
1830,Republican,"""The vast majority of businesses are small businesses. They also hire and create the vast majority of new jobs that are created in America"" – @SenatorRisch #TaxReform https://t.co/UEGUmOmAtA",Senate of Republican,28,0.0,0.859,0.141,0.4767
1831,Republican,This is what economic growth from tax reform looks like ➡️ https://t.co/KIfgE7sdZt,Senate of Republican,12,0.0,0.662,0.338,0.6249
1832,Republican,.@SenateMajLdr: We fully intend to accomplish the first comprehensive tax reform in 31 years. https://t.co/YtOT37q06w,Senate of Republican,15,0.0,0.72,0.28,0.6204
