,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
104,Republican,"Happy National #SmallBusinessWeek! 
 
This week, we celebrate the 30 million innovative, job-creating small busines… https://t.co/vaOF3d0Uae",Senate GOP,15,0.0,0.531,0.469,0.8908
105,Republican,"While Republicans work to continue America’s robust economic growth, Democrats are pushing socialist policies that… https://t.co/6R98toIPsY",Senate GOP,16,0.0,0.737,0.263,0.6124
106,Republican,"Since @POTUS @realdonaldtrump and Republicans in Congress passed tax reform:

✨  3.5 million new jobs have been cre… https://t.co/eUgspGqBX8",Senate GOP,19,0.0,1.0,0.0,0.0
107,Republican,"✨ 🌚 ✨

FYI: The unemployment rate hasn't been this low since man first walked on the moon.

Republican policies are… https://t.co/Xkcz312ydF",Senate GOP,22,0.222,0.672,0.106,-0.4102
108,Republican,Here’s what they’re saying about April’s 🔥 #jobsreport https://t.co/uMr3r6ElNo,Senate GOP,9,0.0,1.0,0.0,0.0
109,Republican,This blockbuster jobs report shows Republican pro-growth policies continue to fuel a red-hot American economy. Job… https://t.co/LZcrwS5G8s,Senate GOP,17,0.0,0.794,0.206,0.5994
110,Republican,"Republicans’ pro-jobs policies continue to fuel a red hot American economy. 

More jobs, higher wages, and THE LOWE… https://t.co/ZRfW0SDS0C",Senate GOP,19,0.0,1.0,0.0,0.0
111,Republican,Democrats’ agenda: Socialist policies for all. Freedom for none. https://t.co/ge8YeNcWFo,Senate GOP,10,0.0,0.682,0.318,0.6369
112,Republican,BREAKING: The productivity of American workers SOARED in the first quarter &amp; pushed the increase over the past year… https://t.co/cuzik2p6Ke,Senate GOP,20,0.0,0.892,0.108,0.3182
113,Republican,"CBO raises warning signs about forcing Americans into government health care, including: massive spending increases… https://t.co/cMgduibMPD",Senate GOP,16,0.122,0.714,0.163,0.2023
114,Republican,Medicare For All: A radical overhaul that will eliminate private health insurance for 180 million working Americans… https://t.co/vuTXxSd97s,Senate GOP,18,0.0,1.0,0.0,0.0
115,Republican,"While Republicans work to continue America’s robust economic growth, Democrats are pushing socialist policies that… https://t.co/4aLd0FeSEp",Senate GOP,16,0.0,0.737,0.263,0.6124
116,Republican,"Opportunity Zones provide a path to prosperity for thousands of distressed communities across our nation.

Tune in… https://t.co/drHot3qCRF",Senate GOP,18,0.136,0.728,0.136,0.0
117,Republican,“The U.S. economy added far more jobs than expected in April as payrolls in the services sector grew by the most in… https://t.co/gqrB1EIKQ1,Senate GOP,23,0.0,1.0,0.0,0.0
118,Republican,"📺WATCH:

Live from the U.S. Capitol, members of the @SenateGOP leadership team brief the press.

https://t.co/iDJ8ZbOonm",Senate GOP,16,0.0,1.0,0.0,0.0
119,Republican,"Democrats continue their sharp left turn towards radical, job-killing, tax-raising socialist ideas.
 
*Meanwhile*… https://t.co/FvUQkqS6m0",Senate GOP,14,0.0,1.0,0.0,0.0
120,Republican,"We honor the extraordinary legacy of former Senator Richard Lugar, who devoted his life to serving the people of In… https://t.co/DdnjVqTUKc",Senate GOP,21,0.0,0.763,0.237,0.7096
121,Republican,🔥Pro-growth Republican policies have America’s economy firing on all cylinders 🔥 https://t.co/ftFm4Gx0DK,Senate GOP,12,0.194,0.806,0.0,-0.34
122,Republican,".@SenateDems ducked the #GreenNewDeal and voted present, but the @AFLCIO is crystal clear: labor opposes the radica… https://t.co/BCl1nAu4df",Senate GOP,18,0.0,0.833,0.167,0.5267
123,Republican,"📰 Just in from the @WSJ:
 
""Workers, Retirees Are Feeling Better About Retirement Finances""
 
""Confidence in having… https://t.co/btX8ccd58t",Senate GOP,18,0.0,0.645,0.355,0.7717
