Political Affiliation,tweet,Politician,Word Count
Democrats,"Imagine having your home destroyed, or losing your child to a devastating flood, or having a whole crop wiped out &amp;… https://t.co/zkPmTdXmnU",Alexandria Ocasio-Cortez,22
Democrats,When the crowd that uses “free speech” arguments to defend bigotry anywhere + everywhere starts to demand censorshi… https://t.co/rQAjnM5KLg,Alexandria Ocasio-Cortez,19
Democrats,"I think a lot about the policies I support through the lens of family:

- Ending the war on drugs helps keep famili… https://t.co/PosbEEQ3Dz",Alexandria Ocasio-Cortez,24
Democrats,"I’ve worked w a LOT of kids in my past educational work.

The ones who “act up” almost always have issues at home o… https://t.co/mBoEA2XgLw",Alexandria Ocasio-Cortez,25
Democrats,"I have met w/ trans constituents who were put in Rikers.

These women told me about being misgendered upon arrest (… https://t.co/MOWoRedHH0",Alexandria Ocasio-Cortez,22
Democrats,"For folks who don’t get it: in NYC, Citibikes charge you per 15 mins undocked. This picture could look like someone… https://t.co/jOQvkk5hn1",Alexandria Ocasio-Cortez,22
Democrats,"By the end of the day, for the cost of this flex you could get close to some AirPods like everyone else https://t.co/9pWJPxuFBv",Alexandria Ocasio-Cortez,23
Democrats,Yes! ⬇️ https://t.co/9bWZ3XIJM8,Alexandria Ocasio-Cortez,3
Democrats,Is it really that hard to not be creepy? https://t.co/WJJv7QNDyn,Alexandria Ocasio-Cortez,10
Democrats,"From the opioid crisis to psilocybin’s potential w/ PTSD, it’s well past time we take drug use out of criminal cons… https://t.co/0I7hBeTc4E",Alexandria Ocasio-Cortez,22
Democrats,@IQ_Adventures @yashar Hi!,Alexandria Ocasio-Cortez,3
Democrats,"(It should be free, too - like in the UK!)",Alexandria Ocasio-Cortez,10
Democrats,"Psst! 🗣 Birth control should be over-the-counter, pass it on.",Alexandria Ocasio-Cortez,10
Democrats,@JStein_WaPo I think the #1 source of misunderstanding in PR conversations is that it seems most people try (consci… https://t.co/Y9cU09kGfn,Alexandria Ocasio-Cortez,20
Democrats,"DC statehood &amp; Puerto Rico statehood are NOT the same issue.

PR was colonized by the US, &amp; deserves a BINDING proc… https://t.co/nEmVI1521L",Alexandria Ocasio-Cortez,23
Democrats,Sure looks like powerful people are trying to bribe the President into war. https://t.co/e4L4YcrGKp,Alexandria Ocasio-Cortez,14
Democrats,"I’m thrilled so many community members came to our  #RenewableRikers town hall, but sadly some folks couldn’t make… https://t.co/Il0clX1HsX",Alexandria Ocasio-Cortez,19
Democrats,"The #RenewableRikers town hall tonight was PACKED!

Thank you to everyone in the community who came out to listen t… https://t.co/pDwENOc9On",Alexandria Ocasio-Cortez,21
Democrats,"5 years after Eric Garner’s death, the disciplinary trial regarding that day is coming to an end.

Garner’s death s… https://t.co/cFOAW01gaO",Alexandria Ocasio-Cortez,21
Democrats,@yashar @BronxZoo @SenSchumer @SenGillibrand @RepJoseSerrano @NYGovCuomo Thanks for bringing Happy’s situation to m… https://t.co/OCzmiafH5Q,Alexandria Ocasio-Cortez,14
Democrats,Not all Democrats are the same. https://t.co/C6Uj8KrcqW,Alexandria Ocasio-Cortez,7
Democrats,"Usury laws (aka interest rate caps) used to be quite popular in red states.

Did you know Alabama used to have usur… https://t.co/C6Z07BrL5t",Alexandria Ocasio-Cortez,23
Democrats,"55 signatories just came out in favor of @BernieSanders’ &amp; my joint call to cap ALL interest at 15%.

Supporters in… https://t.co/3izMCiFMxJ",Alexandria Ocasio-Cortez,22
Democrats,"This hearing was wild.

First the FBI witness tried to say I was wrong. I tried to be generous + give benefit of do… https://t.co/hgmlNSfliM",Alexandria Ocasio-Cortez,25
Democrats,"Sorry, but if people aren’t willing to apply principles evenly, no matter the person, then they aren’t fighting for… https://t.co/vHvp7gSJMN",Alexandria Ocasio-Cortez,20
Democrats,"Yes - released from solitary.

NYT used the term solitary confinement, &amp; that’s what I am commenting on.

“Protecti… https://t.co/eEU625Gj3u",Alexandria Ocasio-Cortez,20
Democrats,"Yes - released from solitary.

NYT used the term solitary confinement, &amp; that’s what I am commenting on.

“Protecti… https://t.co/eEU625Gj3u",Alexandria Ocasio-Cortez,20
Democrats,"Paul Manafort is being sent to solitary confinement in my district - Rikers Island.

A prison sentence is not a lic… https://t.co/8dODHnfOUC",Alexandria Ocasio-Cortez,22
Democrats,"People are like “HEY there is NOTHING wrong with dad jeans.” 😂

Exactly, Jim. Wear them with pride. I see you and a… https://t.co/4HlgSctlUt",Alexandria Ocasio-Cortez,24
Democrats,"Will “Straight Pride” be a Freaky Friday type situation where all of our history books, movies, stories, media, new… https://t.co/0mUJaDtD2n",Alexandria Ocasio-Cortez,20
Democrats,"Rep. @JoeNeguse is incredible.

If you live in Colorado and have him as your rep, you are in one of the luckiest co… https://t.co/Fwrf4OISF0",Alexandria Ocasio-Cortez,24
Democrats,"Today, after YEARS of GOP refusal, the House finally voted on the DREAM Act under a Dem majority.

The moment when… https://t.co/4hWn1gCBQn",Alexandria Ocasio-Cortez,22
Democrats,Company money is a tactic powerful corporations use to take over towns &amp; control local workers by paying them in fa… https://t.co/B23KhnG7i8,Alexandria Ocasio-Cortez,22
Democrats,"This gymnastics stunt of a take makes sense, considering he doesn’t want to be President - he wants to be King.

An… https://t.co/yLGHN4X5Wp",Alexandria Ocasio-Cortez,23
Democrats,"As a result this hearing (chaired by @RoKhanna!), we were able to secure $16 million in refunds from TransDigm for… https://t.co/t1N2sHIuQ8",Alexandria Ocasio-Cortez,21
Democrats,"Seems like Trump’s DOT Secretary, Elaine Chao,has been caught trying to use her position to enrich her family’s shi… https://t.co/uKmmsJQJg2",Alexandria Ocasio-Cortez,20
Democrats,"Did you know?

The new Queens Planned Parenthood clinic offers healthcare for our trans + gender-expanding friends,… https://t.co/RBzFdrseAL",Alexandria Ocasio-Cortez,18
Democrats,"Search: “Montell Jordan” on music platform

Play: 🎶THIS IS HOW WE DO IT 🎶 ⬇️ https://t.co/L4Bt8yacZu",Alexandria Ocasio-Cortez,16
Democrats,"Have you seen online platforms make strong, healthy decisions to prevent bigotry and disinformation?

Take a minute… https://t.co/R25dSQUcnV",Alexandria Ocasio-Cortez,18
Democrats,"Even from a “market competition” perspective, it’s a bad long-term strategy.

The reason young people are leaving F… https://t.co/SomYNA5Nzs",Alexandria Ocasio-Cortez,19
Democrats,"The holy grail of many social platforms is “engagement.”

Bigotry + disinformation campaigns are often the most “en… https://t.co/IYzo3Gt2jz",Alexandria Ocasio-Cortez,19
Democrats,"Reminder that @RepJayapal already took everyone to school on #MedicareForAll.

Watching how Pres candidates speak a… https://t.co/1C6ssyY8nM",Alexandria Ocasio-Cortez,17
Democrats,"✅ Medicare for All IS sound policy - one may disagree w/ it, but plenty of other countries have single payer + bett… https://t.co/mPexUMPOTb",Alexandria Ocasio-Cortez,24
Democrats,"Since there’s so many people running for President (&amp; not enough for Senate), instead of obsessing over who‘s a “fr… https://t.co/CZ6skCyqr8",Alexandria Ocasio-Cortez,21
Democrats,"Queens residents: Set a calendar reminder to vote in the DA primary THIS month, June 25th! 🗳 https://t.co/Hr8QBD51rb",Alexandria Ocasio-Cortez,18
Democrats,"It was great running into you, @kalpenn! https://t.co/nsLceGRXs1",Alexandria Ocasio-Cortez,8
Democrats,"Couldn’t let this suit go to waste✨

Thanks to some extra rest, medicine + vaporu (😉) we were able to rally + join… https://t.co/5XKfzubGXO",Alexandria Ocasio-Cortez,24
Democrats,"The GOP is working overtime to dismantle labor unions, which are exceedingly popular with the American public.

Uni… https://t.co/jRrvbYDD0z",Alexandria Ocasio-Cortez,19
Democrats,"Sorry - should clarify!

They’re yours to pick up at Queens Pride and our Pride events all month.

(Fun fact: we so… https://t.co/h5GtdkxGbO",Alexandria Ocasio-Cortez,23
Democrats,"Also, we‘re premiering our new eco-friendly, no-plastic buttons today! (Don’t have to buy ‘em, they’re yours to enj… https://t.co/tVpk54MU9L",Alexandria Ocasio-Cortez,19
Democrats,Let’s celebrate &amp; remember what Pride month is all about - it’s more than buying commercial products w rainbow labe… https://t.co/kJbLjcvhek,Alexandria Ocasio-Cortez,21
Democrats,"Hey everyone - I was super excited to march in Queens Pride today, but sadly I came down with a really bad cold thi… https://t.co/WSNPNFyQnC",Alexandria Ocasio-Cortez,25
Democrats,"Yep! It means we shouldn’t check our rights at the door whenever we work for an employer.

It means workers should… https://t.co/X5FOAuUDxI",Alexandria Ocasio-Cortez,22
Democrats,"Readings from the Misogynist Dictionary 📖:

“Nasty” (adj.):
1. A woman who doesn’t bow under your thumb; or
2. A wo… https://t.co/AJmCzpo6DF",Alexandria Ocasio-Cortez,22
Democrats,I’m sure EVERY state passing abortion bans will also be prosecuting ICE officials for the deaths of premature babie… https://t.co/Js7xJE5tSf,Alexandria Ocasio-Cortez,20
Democrats,"I was nervous that I may have lost my touch - still got it! That muscle memory doesn’t quit 😉

Now let’s pass… https://t.co/FCZJKCvnON",Alexandria Ocasio-Cortez,24
Democrats,"&amp; I mean improve ALL people’s lives, not only “swing voters’” lives.

If all you want to talk about is wages but no… https://t.co/4lFf3PbBYw",Alexandria Ocasio-Cortez,24
Democrats,This is why I say that expanding the electorate is a more effective strategy than burning💰to win over a tiny slice… https://t.co/p8L7iKNcBL,Alexandria Ocasio-Cortez,22
Democrats,"Yeah I don’t know why people are suddenly trusting alt-right outlets with “scoops” on who I’m endorsing.

Let’s use… https://t.co/8IP6fxRrft",Alexandria Ocasio-Cortez,20
Democrats,@PG_suar By submitting an event request form 🙂: https://t.co/W9GpWHADq2,Alexandria Ocasio-Cortez,9
Democrats,"The Housing Town Hall tonight in Allerton was incredible.

Housing is a complex issue bc of the links between city,… https://t.co/sYC4FCqpSV",Alexandria Ocasio-Cortez,21
Democrats,"Okay, with @brianschatz + @tedcruz we’ve got at least one D-R team in the Senate to ban members becoming lobbyists,… https://t.co/iHv4UN4eG1",Alexandria Ocasio-Cortez,21
Democrats,".@tedcruz if you’re serious about a clean bill, then I’m down.

Let’s make a deal.

If we can agree on a bill with… https://t.co/nhC6167MH5",Alexandria Ocasio-Cortez,24
Democrats,"So often, bipartisanship is marketed as:
a) something only “centrist moderates” are capable of, or
b) giving up you… https://t.co/VGo4pWY7zH",Alexandria Ocasio-Cortez,20
Democrats,The Trump administration is trying to rig the 2020 Census to nearly guarantee a gerrymandered Republican majority i… https://t.co/2S0rxp5uCx,Alexandria Ocasio-Cortez,19
Democrats,"(I do want to say that while there was some real intense BS at times, the people I worked with there were incredibl… https://t.co/dmhFAxmrgH",Alexandria Ocasio-Cortez,24
Democrats,"Just ahead of coming out of bartending retirement, @ryangrim shares this heartwarming tale 😬

What’s wild is that I… https://t.co/PDPtfjuYWE",Alexandria Ocasio-Cortez,20
Democrats,"Some people have brought up Congressional dorms - certainly a possibility.

This does happen informally; lots of me… https://t.co/9yiRSI6c0G",Alexandria Ocasio-Cortez,19
Democrats,There are plenty of examples. Another big one is spousal loopholes. They’re tough discussions &amp; politically unpopul… https://t.co/z6AWJfZLIY,Alexandria Ocasio-Cortez,18
Democrats,"For ex, members of Congress have strict restrictions that most of the public don’t have.

1 case: bc of our jobs we… https://t.co/2tGPjCLyw1",Alexandria Ocasio-Cortez,23
Democrats,"Keeping it real, the 🐘 in the room w/ passing a lobbying ban on members requires a nearly-impossible discussion abo… https://t.co/5ba9LAcifA",Alexandria Ocasio-Cortez,21
Democrats,"If you are a member of Congress + leave, you shouldn’t be allowed to turn right around&amp;leverage your service for a… https://t.co/3AumZDKyOL",Alexandria Ocasio-Cortez,22
Democrats,"Taxes, taxes, taxes!

We have sworn Congressional testimony that you artificially deflated your assets to skirt pay… https://t.co/ax1rElY1RP",Alexandria Ocasio-Cortez,18
Democrats,Early coverage from before anyone knew who I was almost always came from outlets or reporters who could understand… https://t.co/QVh9YahdgI,Alexandria Ocasio-Cortez,20
Democrats,Also LATINX outlets like @REMEZCLA did digital as well,Alexandria Ocasio-Cortez,9
Democrats,"Other early outlets included:
- online progressive outlets (ex. @TYT)
- local outlets (ex. @WNYC, @villagevoice)
-… https://t.co/aQuwtDLlRh",Alexandria Ocasio-Cortez,18
Democrats,".@aidachavez was one of a few journalists that picked up our race before the primary.

Establishment power can also… https://t.co/wyTdmRY4fr",Alexandria Ocasio-Cortez,20
Democrats,"One year ago today, I was a long-shot candidate for Congress that debuted this video.

We had no news coverage, vir… https://t.co/nCmZq8SpdA",Alexandria Ocasio-Cortez,22
Democrats,"What, are you sad I don’t speak as our President does, w top hits like “Just grab ‘em by the p—?” Or going on abt t… https://t.co/cpTtLk85As",Alexandria Ocasio-Cortez,27
Democrats,Your daily reminder✨ https://t.co/8g5jepaiDE,Alexandria Ocasio-Cortez,4
Democrats,"Today was a great example of what can be accomplished w/ a #GreenNewDeal!

New building w/:
✅ Not-for-profit senior… https://t.co/3ysPFuwffV",Alexandria Ocasio-Cortez,20
Democrats,That part ⬇️ https://t.co/XYsukFu0kJ,Alexandria Ocasio-Cortez,4
Democrats,"Mueller is playing a game of Taboo with Congress.

His word is “impeach.” https://t.co/mS4K8faLCw",Alexandria Ocasio-Cortez,14
Democrats,@johniadarola @briebriejoy Don’t let them bully you out of liking Voyager!!,Alexandria Ocasio-Cortez,11
Democrats,"@briebriejoy A TNG Q episode, perhaps",Alexandria Ocasio-Cortez,6
Democrats,This guy reminds me of every climate scientist warning people we have 12 years left to cut emissions in half before… https://t.co/FMeUKj5k5r,Alexandria Ocasio-Cortez,22
Democrats,"Use real citrus juice for your sours, people!

You deserve so much better than what you’re settling for 😭",Alexandria Ocasio-Cortez,19
Democrats,At the event I will also unveil my newest platform policy: Abolish Sour Mix 2020 😉,Alexandria Ocasio-Cortez,16
Democrats,"@lukeoneil47 A Garibaldi/Garibaldi spritz is an underrated brunch cocktail.

(For those reading: it’s a Campari&amp;OJ.… https://t.co/i8MR1hjhvU",Alexandria Ocasio-Cortez,16
Democrats,"To the silver spoon classists saying they’re going to “make AOC bartend again”:

You’re in luck! I’ll be bartending… https://t.co/gJEhfaPtj1",Alexandria Ocasio-Cortez,20
Democrats,"All of this is to say that words matter, and can have consequences for safety.

For those who believe in “free spee… https://t.co/mUi9RiUcxO",Alexandria Ocasio-Cortez,23
