Political Affiliation,tweet,Politician,Word Count,created_time,number of retweets,number of likes
Democrats,"Members of Congress had to surrender their phones before today’s CBP trip.

But @JoaquinCastrotx was able to get a device in. This photo is of the women we spoke to.

We asked their permission to photograph - they said yes, please share what’s happening. https://t.co/4ZhOMlEBVA",AOC,45,2019-07,26011,53735
Democrats,"Meanwhile, one refrain we‘ve heard is that people are overcrowded in CBP concentration camps because the shelters (which are humane places where families can stay together) are full.

So we went to a shelter. They said that wasn’t true at all. Only 150/500 spots were filled. https://t.co/E0yPQ3o7CC",AOC,47,2019-07,11882,29293
Democrats,"This was in fact the type of toilet we saw in the cell.

Except there was just one, and the sink portion was not functioning - @AyannaPressley smartly tried to open the faucet, and nothing came out.

So the women were told they could drink out of the bowl. https://t.co/rcu9Rt6B2x",AOC,50,2019-07,22758,55156
Democrats,"CBP made us check our phones.

But one woman slipped me this packet to take with me. 

It says “shampoo,” but she told me that this is all they give women to wash their entire body. Nothing else.

Some women’s hair was falling out. Others had gone 15 days without taking a shower. https://t.co/OsaKS0YD9a",AOC,54,2019-07,31639,82605
Democrats,"What’s haunting is that the women I met with today told me in no uncertain terms that they would experience retribution for telling us what they shared.

They all began sobbing - out of fear of being punished, out of sickness, out of desperation, lack of sleep, trauma, despair.",AOC,49,2019-07,34662,114486
Democrats,"Now I’m on my way to Clint, where the Trump admin was denying children toothpaste and soap.

This has been horrifying so far. It is hard to understate the enormity of the problem. We’re talking systemic cruelty w/ a dehumanizing culture that treats them like animals.",AOC,46,2019-07,23090,97296
Democrats,"After I forced myself into a cell w/ women&amp;began speaking to them, one of them described their treatment at the hands of officers as “psychological warfare” - waking them at odd hours for no reason, calling them wh*res, etc.

Tell me what about that is due to a “lack of funding?”",AOC,51,2019-07,68710,229522
Democrats,"Now I’ve seen the inside of these facilities.

It’s not just the kids. It’s everyone. People drinking out of toilets, officers laughing in front of members Congress.

I brought it up to their superiors. They said “officers are under stress &amp; act out sometimes.” No accountability.",AOC,46,2019-07,51347,149353
Democrats,"Just left the 1st CBP facility.

I see why CBP officers were being so physically &amp;sexually threatening towards me.

Officers were keeping women in cells w/ no water &amp; had told them to drink out of the toilets.

This was them on their GOOD behavior in front of members of Congress.",AOC,51,2019-07,55895,144950
Democrats,"There are 20,000 TOTAL Customs &amp; Border Patrol agents in the US.

9,500 - almost HALF that number - are in a racist &amp; sexually violent secret CBP Facebook group.

They’re threatening violence on members of Congress. How do you think they’re treating caged children+families? https://t.co/AfDB50cgHQ",AOC,46,2019-07,43180,92994
Democrats,"9,500 CBP officers sharing memes about dead migrants and discussing violence and sexual misconduct towards members of Congress.

How on earth can CBP’s culture be trusted to care for refugees humanely?

PS I have no plans to change my itinerary &amp; will visit the CBP station today.",AOC,47,2019-07,20676,87099
Democrats,"This just broke: a secret Facebook group of 9,500 CBP officers discussed making a GoFundMe for officers to harm myself &amp; Rep. Escobar during our visit to CBP facilities &amp; mocked migrant deaths.

This isn’t about “a few bad eggs.” This is a violent culture. https://t.co/SkFwThHElx",AOC,46,2019-07,65196,134635
Democrats,"We just landed in El Paso last night with several other members of Congress to tour migrant camp facilities.

Meanwhile in McAllen, this is the scene (via @Reuters) ⬇️ https://t.co/Hoe0OHw8Vz",AOC,30,2019-07,4751,18128
Democrats,You can chip in to their legal fund here: https://t.co/NIk4WWY9sC,AOC,10,2019-07,2605,11258
Democrats,"Direct actions of profound solidarity, just like these, hold enormous power to change our country.

Thank you @NeverAgainActn, for your courage, compassion, and selflessness in pursuit of justice. 

https://t.co/Bl0B6ZFcAZ",AOC,29,2019-07,3317,17116
Democrats,"Also deserving of our attention and support: 36 young Jewish activists were arrested today for nonviolent direct action against migrant conditions in Elizabeth, NJ.

You can learn more about their advocacy and support their bail fund here ⬇️ https://t.co/oyoOJZdwh8",AOC,39,2019-07,17640,55651
Democrats,"For our fundraising deadline in an HOUR, I’d like to share some fundraising w/ ⁦@KatieHill4CA⁩, a swing-seater who stood up for immigrant dignity this week.

Split 💰here to show that immigrant dignity shouldn’t be a partisan issue,but a human issue: https://t.co/GEwbyYBtqa",AOC,41,2019-07,1953,10335
Democrats,"(And that’s if they even take out their own trash, which I doubt)",AOC,13,2019-06,3574,50452
Democrats,"In other words, Republicans who criticize my being a waitress as evidence of lacking skill can take their classism to the trash.

You are insulting the capacities and potential of virtually every working person in America (&amp;the 🌎) for having experience that’s earned, not bought.",AOC,45,2019-06,11505,82424
